DCINFO 1|decay calculator
DCINFO 2|version number
SPINFO 1|spectrum calculator
SPINFO 2|version number
MODSEL 1|nonUniversal
SMINPUTS 1|alpha_em^-1(M_Z)^MSbar
SMINPUTS 2|G_F [GeV^-2]
SMINPUTS 3|alpha_S(M_Z)^MSbar
SMINPUTS 4|M_Z pole mass
SMINPUTS 5|mb(mb)^MSbar
SMINPUTS 6|mt pole mass
SMINPUTS 7|mtau pole mass
MINPAR 3|tanb
EXTPAR 1|M_1(MX)
EXTPAR 2|M_2(MX)
EXTPAR 3|M_3(MX)
EXTPAR 11|At(MX)
EXTPAR 12|Ab(MX)
EXTPAR 13|Atau(MX)
EXTPAR 23|mu(MX)
EXTPAR 26|mA(pole)
EXTPAR 31|meL(MX)
EXTPAR 32|mmuL(MX)
EXTPAR 33|mtauL(MX)
EXTPAR 34|meR(MX)
EXTPAR 35|mmuR(MX)
EXTPAR 36|mtauR(MX)
EXTPAR 41|mqL1(MX)
EXTPAR 42|mqL2(MX)
EXTPAR 43|mqL3(MX)
EXTPAR 44|muR(MX)
EXTPAR 45|mcR(MX)
EXTPAR 46|mtR(MX)
EXTPAR 47|mdR(MX)
EXTPAR 48|msR(MX)
EXTPAR 49|mbR(MX)
MASS 24|W+
MASS 25|h
MASS 35|H
MASS 36|A
MASS 37|H+
MASS 5|b-quark pole mass calculated from mb(mb)_Msbar
MASS 1000001|~d_L
MASS 2000001|~d_R
MASS 1000002|~u_L
MASS 2000002|~u_R
MASS 1000003|~s_L
MASS 2000003|~s_R
MASS 1000004|~c_L
MASS 2000004|~c_R
MASS 1000005|~b_1
MASS 2000005|~b_2
MASS 1000006|~t_1
MASS 2000006|~t_2
MASS 1000011|~e_L
MASS 2000011|~e_R
MASS 1000012|~nu_eL
MASS 1000013|~mu_L
MASS 2000013|~mu_R
MASS 1000014|~nu_muL
MASS 1000015|~tau_1
MASS 2000015|~tau_2
MASS 1000016|~nu_tauL
MASS 1000021|~g
MASS 1000022|~chi_10
MASS 1000023|~chi_20
MASS 1000025|~chi_30
MASS 1000035|~chi_40
MASS 1000024|~chi_1+
MASS 1000037|~chi_2+
NMIX 1 1|N_11
NMIX 1 2|N_12
NMIX 1 3|N_13
NMIX 1 4|N_14
NMIX 2 1|N_21
NMIX 2 2|N_22
NMIX 2 3|N_23
NMIX 2 4|N_24
NMIX 3 1|N_31
NMIX 3 2|N_32
NMIX 3 3|N_33
NMIX 3 4|N_34
NMIX 4 1|N_41
NMIX 4 2|N_42
NMIX 4 3|N_43
NMIX 4 4|N_44
UMIX 1 1|U_11
UMIX 1 2|U_12
UMIX 2 1|U_21
UMIX 2 2|U_22
VMIX 1 1|V_11
VMIX 1 2|V_12
VMIX 2 1|V_21
VMIX 2 2|V_22
STOPMIX 1 1|cos(theta_t)
STOPMIX 1 2|sin(theta_t)
STOPMIX 2 1|-sin(theta_t)
STOPMIX 2 2|cos(theta_t)
SBOTMIX 1 1|cos(theta_b)
SBOTMIX 1 2|sin(theta_b)
SBOTMIX 2 1|-sin(theta_b)
SBOTMIX 2 2|cos(theta_b)
STAUMIX 1 1|cos(theta_tau)
STAUMIX 1 2|sin(theta_tau)
STAUMIX 2 1|-sin(theta_tau)
STAUMIX 2 2|cos(theta_tau)
ALPHA 1|Mixing angle in the neutral Higgs boson sector
HMIX
HMIX 1|mu(Q)MSSM
HMIX 2|tan
HMIX 3|higgs
HMIX 4|mA^2(Q)MSSM
GAUGE
GAUGE 1|gprime(Q) DRbar
GAUGE 2|g(Q) DRbar
GAUGE 3|g3(Q) DRbar
AU
AU 1 1|A_u(Q) DRbar
AU 2 2|A_c(Q) DRbar
AU 3 3|A_t(Q) DRbar
AD
AD 1 1|A_d(Q) DRbar
AD 2 2|A_s(Q) DRbar
AD 3 3|A_b(Q) DRbar
AE
AE 1 1|A_e(Q) DRbar
AE 2 2|A_mu(Q) DRbar
AE 3 3|A_tau(Q) DRbar
Yu
Yu 1 1|y_u(Q) DRbar
Yu 2 2|y_c(Q) DRbar
Yu 3 3|y_t(Q) DRbar
Yd
Yd 1 1|y_d(Q) DRbar
Yd 2 2|y_s(Q) DRbar
Yd 3 3|y_b(Q) DRbar
Ye
Ye 1 1|y_e(Q) DRbar
Ye 2 2|y_mu(Q) DRbar
Ye 3 3|y_tau(Q) DRbar
MSOFT
MSOFT 1|M_1(Q)
MSOFT 2|M_2(Q)
MSOFT 3|M_3(Q)
MSOFT 21|mH1^2(Q)
MSOFT 22|mH2^2(Q)
MSOFT 31|meL(Q)
MSOFT 32|mmuL(Q)
MSOFT 33|mtauL(Q)
MSOFT 34|meR(Q)
MSOFT 35|mmuR(Q)
MSOFT 36|mtauR(Q)
MSOFT 41|mqL1(Q)
MSOFT 42|mqL2(Q)
MSOFT 43|mqL3(Q)
MSOFT 44|muR(Q)
MSOFT 45|mcR(Q)
MSOFT 46|mtR(Q)
MSOFT 47|mdR(Q)
MSOFT 48|msR(Q)
MSOFT 49|mbR(Q)
6
6 5 24|BR(t -> b W+)
1000021
1000021 2000001 -1|BR(~g -> ~d_R db)
1000021 -2000001 1|BR(~g -> ~d_R* d)
1000021 2000002 -2|BR(~g -> ~u_R ub)
1000021 -2000002 2|BR(~g -> ~u_R* u)
1000021 2000003 -3|BR(~g -> ~s_R sb)
1000021 -2000003 3|BR(~g -> ~s_R* s)
1000021 2000004 -4|BR(~g -> ~c_R cb)
1000021 -2000004 4|BR(~g -> ~c_R* c)
1000021 1000006 -6|BR(~g -> ~t_1 tb)
1000021 -1000006 6|BR(~g -> ~t_1* t)
1000006
1000006 1000022 6|BR(~t_1 -> ~chi_10 t)
2000006
2000006 1000022 6|BR(~t_2 -> ~chi_10 t)
2000006 1000023 6|BR(~t_2 -> ~chi_20 t)
2000006 1000025 6|BR(~t_2 -> ~chi_30 t)
2000006 1000024 5|BR(~t_2 -> ~chi_1+ b)
2000006 1000037 5|BR(~t_2 -> ~chi_2+ b)
2000006 1000021 6|BR(~t_2 -> ~g t)
2000006 1000006 25|BR(~t_2 -> ~t_1 h)
2000006 1000006 23|BR(~t_2 -> ~t_1 Z)
2000006 1000005 24|BR(~t_2 -> ~b_1 W+)
1000005
1000005 1000022 5|BR(~b_1 -> ~chi_10 b)
1000005 1000023 5|BR(~b_1 -> ~chi_20 b)
1000005 1000025 5|BR(~b_1 -> ~chi_30 b)
1000005 -1000024 6|BR(~b_1 -> ~chi_1- t)
1000005 1000021 5|BR(~b_1 -> ~g b)
1000005 1000006 -24|BR(~b_1 -> ~t_1 W-)
2000005
2000005 1000022 5|BR(~b_2 -> ~chi_10 b)
2000005 1000023 5|BR(~b_2 -> ~chi_20 b)
2000005 1000025 5|BR(~b_2 -> ~chi_30 b)
2000005 1000035 5|BR(~b_2 -> ~chi_40 b)
2000005 -1000024 6|BR(~b_2 -> ~chi_1- t)
2000005 1000021 5|BR(~b_2 -> ~g b)
2000005 1000005 25|BR(~b_2 -> ~b_1 h)
2000005 1000005 23|BR(~b_2 -> ~b_1 Z)
2000005 1000006 -24|BR(~b_2 -> ~t_1 W-)
1000002
1000002 1000022 2|BR(~u_L -> ~chi_10 u)
1000002 1000023 2|BR(~u_L -> ~chi_20 u)
1000002 1000025 2|BR(~u_L -> ~chi_30 u)
1000002 1000024 1|BR(~u_L -> ~chi_1+ d)
1000002 1000021 2|BR(~u_L -> ~g u)
2000002
2000002 1000022 2|BR(~u_R -> ~chi_10 u)
2000002 1000023 2|BR(~u_R -> ~chi_20 u)
2000002 1000025 2|BR(~u_R -> ~chi_30 u)
1000001
1000001 1000022 1|BR(~d_L -> ~chi_10 d)
1000001 1000023 1|BR(~d_L -> ~chi_20 d)
1000001 1000025 1|BR(~d_L -> ~chi_30 d)
1000001 -1000024 2|BR(~d_L -> ~chi_1- u)
1000001 1000021 1|BR(~d_L -> ~g d)
2000001
2000001 1000022 1|BR(~d_R -> ~chi_10 d)
1000004
1000004 1000022 4|BR(~c_L -> ~chi_10 c)
1000004 1000023 4|BR(~c_L -> ~chi_20 c)
1000004 1000025 4|BR(~c_L -> ~chi_30 c)
1000004 1000024 3|BR(~c_L -> ~chi_1+ s)
